82,131,84,87,89,74
95,100,85,86,72.5,72
87,100,84,87,72,72
89,132,92,90,82,72
82,129,86,98,167,158
97,100,92,87,71,72
89,100,95,83,71.5,73
96,100,86,98,73,72
163,169,84,98,167,169
87,99,88,83,68,74
83,129.5,85,87,95,77
131,158,85,87,91,119
123,165,90.5,92,72,74
81,131,87,83,94,76.5
123,165,86,98,165.5,166.5
89,99,86,98,78,72
162,164,86,98,166.5,166.5
82,128,,,168,159
87,101,,,76,71
89,100,,,72,72
77,133,,,166,164
81,131,,,88,71
87,132,,,82.5,79
165,162,,,161,174
78,134,,,166,164.5
90,100,,,71,73
87,101,,,75,74
90,100,,,71,73.5
